date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,atr_pct,day_of_week,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_2pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d,max_high_ret_5d
2026-02-03,AMCR,Amcor,44.34,43.63,42.85,41.86,8940200,6391955.0,1.4,47.93,8.103,-3.666,2.971,0.248,1,1,1,1,0.82,-1.13,2.67,60.9,,15.5,43.36,44.59,43.1,44.9,14.2,False,False,False,True,False,True,True,1,6,2.94,1,8.103,4.141,7.235,0.498,7.769,1,8.037,1.0,1,1,8.749,9.172,9.172
2026-02-03,ADI,Analog Devices,310.32,314.09,302.77,274.07,5546000,3785290.0,1.47,319.44,2.939,0.524,-0.518,0.678,1,1,1,1,-2.45,1.92,-1.76,61.3,,-14.4,315.87,320.23,308.0,320.23,47.0,True,False,False,False,False,True,False,1,19,2.96,1,2.939,3.479,2.943,0.786,3.752,1,4.456,1.0,1,1,5.288,5.288,5.288
2026-02-03,APA,APA Corporation,26.46,26.21,25.49,24.9,8509700,6519370.0,1.31,27.38,3.477,-3.287,3.701,-0.146,1,1,1,1,0.57,-1.97,2.2,57.9,,-17.1,25.93,26.52,25.79,27.49,15.1,False,False,False,False,False,True,False,4,14,4.03,1,3.477,0.076,3.779,0.109,3.893,1,3.742,1.0,1,1,4.497,5.518,5.518
2026-02-03,AMAT,Applied Materials,318.27,329.09,315.38,272.1,10697000,7868550.0,1.36,297.23,-6.612,2.147,6.092,-0.454,0,0,0,1,-5.57,1.89,-2.96,56.2,,-24.5,336.52,338.02,311.56,344.17,44.4,True,False,False,False,False,True,True,1,20,4.62,1,-6.612,-4.607,1.205,2.499,3.734,1,3.264,4.0,1,1,1.798,5.002,5.002
2026-02-03,ADM,Archer Daniels Midland,66.89,66.92,64.76,60.33,7404700,4133750.0,1.79,66.84,-0.074,-2.836,1.376,1.886,0,0,0,0,0.58,1.14,-1.01,63.9,,4.3,61.95,67.73,61.93,69.23,32.0,True,False,False,False,False,True,True,1,13,3.12,1,-0.074,-2.908,-1.573,1.538,-0.059,0,1.825,,1,1,0.727,1.914,1.914
2026-02-03,CBRE,CBRE Group,163.35,168.83,168.12,161.69,1848200,1320500.0,1.4,165.89,1.555,0.175,2.1,-0.38,0,1,1,1,-0.75,-0.57,-3.55,43.3,,-10.9,169.79,170.62,163.02,173.05,45.8,False,False,False,False,False,True,False,6,36,2.55,1,1.555,1.732,3.869,0.772,4.671,1,4.273,2.0,1,1,4.346,6.685,6.685
2026-02-03,CCL,Carnival,31.79,30.71,30.08,28.34,29019700,20530450.0,1.41,31.94,0.47,-1.994,8.076,1.646,0,1,1,1,-3.63,8.09,-1.57,61.0,,33.2,31.78,33.0,31.49,33.0,-4.4,False,False,True,False,False,True,False,1,1,3.68,1,0.47,-1.534,6.418,-3.472,2.724,1,4.415,2.0,1,1,6.544,6.544,6.544
2026-02-03,DECK,Deckers Brands,113.34,109.29,103.99,97.28,4649800,3422150.0,1.36,112.25,-0.962,-0.962,3.85,0.882,0,0,0,1,19.46,-2.59,-2.5,61.7,,-49.8,116.23,117.09,111.67,119.65,-5.2,False,False,False,False,False,True,False,0,2,4.41,1,-0.962,-1.915,1.862,-0.823,1.023,1,1.915,4.0,1,1,1.985,2.726,2.726
2026-02-03,ICE,Intercontinental Exchange,163.07,171.51,170.26,161.49,9070400,3631340.0,2.5,164.85,1.092,2.087,0.422,-2.755,0,1,1,1,-0.75,-0.35,-5.84,40.6,,4.9,170.58,171.2,158.83,176.05,161.6,False,False,False,False,False,True,False,5,32,2.6,1,1.092,3.201,3.636,0.284,3.931,1,1.067,2.0,1,1,6.893,6.893,6.893
2026-02-03,KLAC,KLA Corporation,1353.78,1499.22,1477.12,1294.11,2055900,1339235.0,1.54,1305.52,-3.565,1.821,8.409,-0.647,0,0,1,1,-15.24,-1.22,-3.89,44.1,,-42.5,1444.07,1447.41,1322.67,1691.15,28.2,False,False,False,False,False,True,False,5,42,6.33,1,-3.565,-1.808,6.448,-0.193,6.243,1,5.555,3.0,1,1,6.913,7.485,7.485
