date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_3pct_1d,hit_3pct_2d,hit_3pct_3d,hit_3pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,atr_pct,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_3pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d
2026-01-21,1961,三機工業,2121.9,2102.2,1985.8,1842.8,578100,518625.0,1.11,2112.0,-0.464,0.155,0.155,-1.499,0,0,0,1.0,-0.46,-0.62,1.25,70.6,,-5.4,2049.7,2125.1,2049.7,2138.3,85.1,False,False,False,True,False,False,False,1,19,2,,-0.464,-0.309,-0.155,3.251,3.091,1,1.546,4.0,1,1.0,1.236,3.709
2026-01-21,1963,日揮ホールディングス,1980.7,2018.0,1958.4,1809.7,1300200,1490370.0,0.87,1984.7,0.198,1.064,-1.419,3.307,0,0,0,1.0,-2.07,-1.47,0.52,56.2,,-11.1,1921.3,1990.1,1916.9,2126.5,-26.4,True,False,False,False,False,False,False,2,16,2,,0.198,1.264,-0.173,0.596,0.421,0,3.742,5.0,1,1.0,2.503,6.444
2026-01-21,1980,ダイダン,2754.5,2765.9,2574.1,2374.2,670200,604535.0,1.11,2768.2,0.499,-0.142,-2.697,-0.544,0,0,0,0.0,-0.77,-3.03,1.89,66.7,,21.5,2654.4,2779.0,2642.7,2843.8,14.0,True,False,False,False,False,False,False,3,19,2,,0.499,0.356,-2.35,0.584,-1.781,0,-2.315,,1,1.0,1.674,1.674
2026-01-21,2002,日清製粉グループ本社,1981.4,1971.5,1911.0,1837.8,922400,729665.0,1.26,1986.8,0.274,-0.447,-0.199,-2.228,0,0,0,0.0,2.55,2.49,-2.52,66.2,,-6.0,2001.1,2018.4,1974.5,2032.7,-4.4,False,False,False,True,False,False,False,3,19,2,,0.274,-0.174,-0.373,-0.25,-0.622,0,-2.836,,1,1.0,1.244,1.244
2026-01-21,2120,ＬＩＦＵＬＬ,175.0,182.6,182.2,178.3,693400,781450.0,0.89,179.0,2.286,1.117,-2.762,0.0,0,1,1,1.0,-1.07,-2.16,-3.31,43.4,,-33.2,178.0,178.0,174.0,192.0,45.5,False,False,False,False,False,False,False,2,5,2,,2.286,3.429,0.571,0.568,1.143,1,1.143,2.0,1,1.0,5.143,5.143
2026-01-21,2146,ＵＴグループ,207.3,211.9,200.4,186.5,3250100,4368040.0,0.74,212.2,2.381,1.395,-2.294,-2.817,0,1,1,1.0,0.0,-1.38,-1.87,61.4,,106.9,207.3,209.3,204.3,215.2,-12.4,True,False,False,False,False,False,False,0,19,2,,2.381,3.81,1.429,0.0,1.429,1,-1.429,2.0,1,1.0,5.238,5.238
2026-01-21,2160,ジーエヌアイグループ,2594.0,2587.6,2474.2,2455.6,913600,1637095.0,0.56,2635.0,1.581,4.402,-2.581,-3.391,0,1,1,1.0,2.58,-1.64,0.31,57.3,,30.8,2536.0,2605.0,2506.0,2709.0,-44.5,False,False,False,False,False,False,True,1,2,2,,1.581,6.052,3.315,-3.172,0.039,1,-3.354,2.0,1,1.0,9.406,9.406
2026-01-21,2212,山崎製パン,3476.0,3444.4,3354.7,3220.1,685100,485095.0,1.41,3446.0,-0.863,-0.087,-0.378,-3.134,0,0,0,0.0,4.79,1.77,-2.36,62.8,,-9.7,3564.0,3594.0,3454.0,3618.0,-33.9,False,False,False,False,False,False,False,2,19,2,,-0.863,-0.949,-1.323,-1.399,-2.704,0,-5.754,,0,0.0,-0.029,-0.029
2026-01-21,2267,ヤクルト本社,2528.0,2532.4,2458.1,2425.6,1613600,1294530.0,1.25,2561.0,1.307,-1.059,-0.623,-2.171,0,0,0,0.0,1.63,1.65,-2.25,62.0,,-13.4,2556.1,2556.6,2521.6,2588.6,6.8,True,False,False,True,False,False,False,1,8,2,,1.307,0.234,-0.39,-1.704,-2.087,0,-4.213,,1,1.0,2.321,2.321
2026-01-21,2269,明治ホールディングス,3587.6,3567.7,3480.2,3256.6,1312500,1187300.0,1.11,3576.7,-0.303,1.545,0.407,-2.153,0,0,0,0.0,2.06,2.76,-2.26,65.9,,28.5,3646.8,3653.7,3562.9,3691.2,-33.5,False,False,False,True,False,False,False,3,19,2,,-0.303,1.238,1.65,0.514,2.173,0,-0.027,,1,1.0,2.365,2.365
