date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,atr_pct,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_2pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d
2025-12-01,2002,日清製粉グループ本社,1849.0,1865.8,1820.2,1811.0,697000,851780.0,0.82,1863.0,0.757,-1.181,-0.244,0.964,0,0,0,0,-0.43,0.19,-1.31,56.2,,6.0,1862.5,1875.5,1844.0,1887.5,38.9,True,False,False,True,False,False,True,1,4,0,,0.757,-0.433,-0.676,-1.143,-1.812,0,-0.865,,1,1,0.784,0.784
2025-12-01,2112,塩水港精糖,529.0,550.2,522.4,474.9,944700,240310.0,3.93,527.0,-0.378,0.0,-1.518,0.0,0,0,0,0,0.18,3.64,-7.19,53.8,,113.8,576.0,577.0,509.0,577.0,367.0,True,False,False,False,False,False,False,4,20,0,,-0.378,-0.378,-1.89,-0.771,-2.647,0,-2.647,,1,1,1.134,1.134
2025-12-01,2146,ＵＴグループ,182.8,181.7,180.2,179.9,4938000,5847375.0,0.84,180.3,-1.403,-0.182,2.121,1.908,0,0,0,0,0.33,1.89,-0.93,55.5,,45.4,186.0,186.7,182.8,188.6,-22.4,False,False,False,False,False,False,True,1,1,0,,-1.403,-1.583,0.504,-2.435,-1.943,0,-0.072,,1,1,0.504,0.504
2025-12-01,2160,ジーエヌアイグループ,2476.0,2508.4,2502.6,2483.2,969300,1031570.0,0.94,2418.0,-2.342,-7.361,3.08,-2.834,1,1,1,1,0.75,0.55,-3.62,49.3,,5.0,2543.0,2563.0,2465.0,2667.0,11.3,False,False,False,False,False,False,True,1,1,0,,-2.342,-9.532,-6.745,0.866,-5.937,1,-8.603,1.0,1,1,2.464,2.464
2025-12-01,2181,パーソルホールディングス,278.2,283.7,272.3,270.2,14274100,8786735.0,1.62,280.6,0.863,0.249,-0.711,0.689,0,0,0,0,-0.63,-1.37,-0.96,55.1,,272.7,281.0,284.8,277.3,293.3,-23.3,True,False,False,False,False,False,False,0,1,0,,0.863,1.114,0.395,-1.253,-0.863,0,-0.18,,1,1,1.905,1.905
2025-12-01,2269,明治ホールディングス,3280.0,3306.4,3161.2,3089.2,2004200,3556150.0,0.56,3248.0,-0.976,0.369,0.0,2.691,0,0,0,0,1.52,0.57,-2.64,64.2,,36.4,3360.0,3365.0,3280.0,3396.0,-42.2,True,False,False,False,False,False,False,0,8,0,,-0.976,-0.61,-0.61,-0.828,-1.433,0,1.22,,1,1,0.366,1.555
2025-12-01,2282,日本ハム,6881.0,6944.8,6646.4,6084.9,571200,640625.0,0.89,6935.0,0.785,-1.038,-1.836,0.06,0,0,0,0,-1.77,-0.42,-0.36,67.5,,5.7,6922.0,6956.0,6840.0,7063.0,49.1,True,False,False,True,False,False,False,0,17,0,,0.785,-0.262,-2.093,-0.965,-3.037,0,-2.979,,1,1,0.799,0.799
2025-12-01,2317,システナ,518.0,516.2,514.0,506.4,755300,1064715.0,0.71,517.0,-0.193,-1.547,1.179,2.584,0,0,0,0,1.56,0.77,-1.15,53.5,,111.6,525.0,529.0,516.0,555.0,-41.9,False,False,False,False,False,False,True,1,1,0,,-0.193,-1.737,-0.579,-2.33,-2.896,0,-0.386,,1,1,0.579,0.772
2025-12-01,2327,日鉄ソリューションズ,4109.0,3875.6,3760.3,3641.9,1197400,380145.0,3.15,4182.0,1.777,0.263,0.31,-0.908,1,1,1,1,0.52,-0.49,7.51,71.5,,6.4,4019.0,4206.0,3975.0,4206.0,723.0,False,False,False,True,False,False,False,1,2,0,,1.777,2.044,2.361,-0.547,1.801,1,0.876,1.0,1,1,4.405,4.405
2025-12-01,2331,ＡＬＳＯＫ,1204.0,1218.9,1164.5,1127.0,1157000,1321765.0,0.88,1242.5,3.198,-1.006,-1.057,1.631,1,1,1,1,-0.37,0.16,-1.63,64.1,,-9.9,1246.0,1255.0,1204.0,1255.0,74.2,True,False,False,False,False,False,False,0,6,0,,3.198,2.159,1.08,-1.767,-0.706,1,0.914,1.0,1,1,3.198,3.198
2025-12-01,2385,総医研ホールディングス,312.0,249.8,216.6,200.8,11396300,839905.0,13.57,264.0,-15.385,-3.409,0.392,2.362,0,0,0,0,-0.43,6.52,27.35,88.7,,663.0,270.0,325.0,268.0,325.0,3112.0,False,False,False,False,False,False,False,1,11,0,,-15.385,-18.269,-17.949,-0.781,-18.59,0,-16.667,,0,0,0.0,0.0
2025-12-01,2413,エムスリー,2453.5,2575.4,2407.7,2322.6,3608600,4164795.0,0.87,2420.0,-1.365,-0.847,-4.043,-0.763,0,0,0,0,-1.4,-1.4,-4.79,51.8,,-14.7,2560.0,2573.5,2450.0,2746.0,46.8,True,False,False,False,False,False,False,0,5,0,,-1.365,-2.201,-6.154,-3.192,-9.15,0,-9.843,,1,1,0.897,0.897
2025-12-01,2492,インフォマート,350.4,355.7,340.0,336.3,2257800,2248985.0,1.0,362.3,3.399,-1.096,3.324,1.07,1,1,1,1,-1.92,0.56,-1.67,57.5,,-21.3,356.3,360.3,348.4,370.2,19.6,True,False,False,False,False,False,False,0,2,0,,3.399,2.266,5.666,0.268,5.949,1,7.082,1.0,1,1,5.666,8.215
2025-12-01,2501,サッポロホールディングス,1579.6,1602.8,1548.9,1501.3,950500,1252925.0,0.76,1612.3,2.066,-0.699,-0.531,0.631,1,1,1,1,-0.73,-0.11,-1.43,57.7,,43.3,1592.5,1594.3,1554.9,1637.4,0.3,True,False,False,False,False,False,True,1,11,0,,2.066,1.353,0.814,-1.54,-0.739,1,-0.113,1.0,1,1,2.668,2.668
2025-12-01,2503,キリンホールディングス,2407.6,2409.5,2303.2,2203.2,2158100,2928755.0,0.74,2408.1,0.02,-2.146,-1.086,0.876,0,0,0,0,-0.12,0.0,-0.33,71.4,,83.0,2411.0,2428.8,2394.3,2435.7,-33.0,True,False,False,True,False,False,False,1,14,0,,0.02,-2.126,-3.19,-1.14,-4.294,0,-3.455,,1,1,0.348,0.348
2025-12-01,2579,コカ・コーラ　ボトラーズジャパンホールディングス,2815.1,2844.4,2700.7,2618.1,794200,860390.0,0.92,2839.4,0.862,-1.447,0.425,1.333,0,0,0,0,-1.36,0.77,-1.47,63.7,,4.6,2822.5,2841.4,2771.1,2890.9,26.0,True,False,False,True,False,False,False,0,6,0,,0.862,-0.598,-0.176,-0.916,-1.09,0,0.229,,1,1,1.125,1.125
2025-12-01,2587,サントリー食品インターナショナル,4757.8,4855.6,4807.9,4691.6,761600,799230.0,0.95,4809.2,1.079,-1.088,0.145,0.354,0,0,0,0,-0.12,0.22,-2.71,46.9,,70.6,4837.8,4841.7,4733.1,4985.9,38.8,False,False,False,False,False,False,False,3,13,0,,1.079,-0.021,0.125,-0.394,-0.27,0,0.083,,1,1,1.1,1.1
2025-12-01,2768,双日,4563.0,4525.8,4352.0,4090.0,1236400,1284900.0,0.96,4586.0,0.504,-0.262,3.935,1.343,0,0,1,1,-0.22,1.24,-0.02,71.0,,60.9,4595.0,4608.0,4530.0,4608.0,-5.1,False,False,False,True,False,False,False,3,20,0,,0.504,0.241,4.186,-1.346,2.783,1,4.164,3.0,1,1,4.602,4.602
